finc_cat,bene_diff,uptake_prob
10000,0,0
20000,0,0
30000,0,0
40000,0,0
50000,0,0
60000,0,0
70000,0,0
80000,0,0
90000,0,0
100000,0,0
10000,25,0.12
20000,25,0.08
30000,25,0.05
40000,25,0.04
50000,25,0.02
60000,25,0.02
70000,25,0.01
80000,25,0.01
90000,25,0
100000,25,0
10000,50,0.59
20000,50,0.48
30000,50,0.38
40000,50,0.28
50000,50,0.21
60000,50,0.15
70000,50,0.1
80000,50,0.07
90000,50,0.05
100000,50,0.03
10000,125,1
20000,125,1
30000,125,1
40000,125,1
50000,125,1
60000,125,1
70000,125,0.99
80000,125,0.99
90000,125,0.98
100000,125,0.98
