"length","cdf"
"1",0.0454545454545455
"2",0.113636363636364
"3",0.159090909090909
"4",0.272727272727273
"5",0.363636363636364
"6",0.386363636363636
"7",0.409090909090909
"8",0.431818181818182
"10",0.659090909090909
"12",0.681818181818182
"15",0.727272727272727
"18",0.75
"20",0.772727272727273
"21",0.795454545454545
"25",0.818181818181818
"30",0.840909090909091
"38",0.863636363636364
"40",0.886363636363636
"45",0.909090909090909
"50",0.931818181818182
"55",0.954545454545455
"135",0.977272727272727
"225",1
